机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
青岛流亭国际机场;上海浦东国际机场,06:25;08:05,青岛到上海,,0010100,,吉祥航空;HO3666,-,,
青岛流亭国际机场;上海浦东国际机场,06:25;08:05,青岛到上海,,0010100,,厦门航空;MF3041,-,,
成都双流国际机场;上海浦东国际机场,06:25;09:20,成都到上海,,1111111,,东方航空;MU5402,-,,
青岛流亭国际机场;上海浦东国际机场,06:25;08:05,青岛到上海,,0010100,,东方航空;MU5512,-,,
大连周水子国际机场;上海浦东国际机场,06:30;08:35,大连到上海,,0001100,,东方航空;MU7392,-,,
宁波栎社国际机场;上海浦东国际机场,07:00;07:45,宁波到上海,,1111111,,东方航空;MU5699,-,,
西宁曹家堡机场;上海浦东国际机场,07:00;10:00,西宁到上海,,1111111,,东方航空;MU7340,-,,
运城关公机场;上海浦东国际机场,07:00;08:55,运城到上海,,1110000,,东方航空;MU7368,-,,
青岛流亭国际机场;上海浦东国际机场,07:10;08:50,青岛到上海,,0101000,,吉祥航空;HO3664,-,,
青岛流亭国际机场;上海浦东国际机场,07:10;08:50,青岛到上海,,1000001,,吉祥航空;HO3666,-,,
青岛流亭国际机场;上海浦东国际机场,07:10;08:50,青岛到上海,,1000001,,厦门航空;MF3041,-,,
青岛流亭国际机场;上海浦东国际机场,07:10;08:50,青岛到上海,,1000001,,东方航空;MU5512,-,,
青岛流亭国际机场;上海浦东国际机场,07:10;08:50,青岛到上海,,0101000,,东方航空;MU5573,-,,
深圳宝安国际机场;上海浦东国际机场,07:15;09:35,深圳到上海,,1111111,,南方航空;CZ9372,-,,
湛江机场;上海浦东国际机场,07:15;09:45,湛江到上海,,1011000,,上海航空;FM9360,-,,
桂林两江国际机场;上海浦东国际机场,07:15;09:30,桂林到上海,,1111111,,上海航空;FM9382,-,,
深圳宝安国际机场;上海浦东国际机场,07:15;09:35,深圳到上海,,1111111,,东方航空;MU5332,-,,
湛江机场;上海浦东国际机场,07:15;09:45,湛江到上海,,1011000,,东方航空;MU9360,-,,
桂林两江国际机场;上海浦东国际机场,07:15;09:30,桂林到上海,,1111111,,东方航空;MU9382,-,,
重庆江北国际机场;上海浦东国际机场,07:20;09:35,重庆到上海,,1110001,,四川航空;3U5023,-,,
北京首都国际机场;上海浦东国际机场,07:20;09:35,北京到上海,,0010001,,中国国航;CA155,¥600起;10-06周日,,
湛江机场;上海浦东国际机场,07:20;09:55,湛江到上海,,0100111,,上海航空;FM9360,-,,
太原武宿国际机场;上海浦东国际机场,07:20;09:35,太原到上海,,1101010,,吉祥航空;HO3642,-,,
重庆江北国际机场;上海浦东国际机场,07:20;09:35,重庆到上海,,1110001,,吉祥航空;HO3722,-,,
柳州白莲机场;上海浦东国际机场,07:20;09:40,柳州到上海,,1111111,,吉祥航空;HO3776,-,,
太原武宿国际机场;上海浦东国际机场,07:20;09:35,太原到上海,,1101010,,东方航空;MU2402,-,,
太原武宿国际机场;上海浦东国际机场,07:20;09:35,太原到上海,,0010101,,东方航空;MU255,-,,
柳州白莲机场;上海浦东国际机场,07:20;09:40,柳州到上海,,1111111,,东方航空;MU5208,-,,
重庆江北国际机场;上海浦东国际机场,07:20;09:35,重庆到上海,,1110001,,东方航空;MU5422,-,,
